Propeller,Date,Time,Handler,Preforming (Yet-to-Start),Preforming (In-Progress),Moulding (Yet-to-Start),Moulding (In-Progress),CNC Trimming,Trimming,Balancing,Polishing,Quality,Performance,Packaging,Shipping
Propeller_1,2024-01-01,132,B,In-Progress,Completed,Yet-to-Start,Completed,Completed,In-Progress,Completed,In-Progress,Completed,Yet-to-Start,Completed,In-Progress
Propeller_2,2024-01-02,177,A,Completed,In-Progress,Yet-to-Start,Completed,Completed,Completed,In-Progress,Completed,Yet-to-Start,Yet-to-Start,Completed,In-Progress
Propeller_3,2024-01-03,238,B,Yet-to-Start,Yet-to-Start,Completed,Completed,Yet-to-Start,Yet-to-Start,Completed,Completed,Yet-to-Start,In-Progress,Yet-to-Start,In-Progress
Propeller_4,2024-01-04,153,C,Yet-to-Start,Completed,In-Progress,Yet-to-Start,Completed,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start
Propeller_5,2024-01-05,136,B,Yet-to-Start,Completed,Completed,Completed,Completed,Completed,In-Progress,Completed,Completed,In-Progress,Yet-to-Start,In-Progress
Propeller_6,2024-01-06,269,D,Yet-to-Start,Completed,Completed,In-Progress,In-Progress,Completed,Completed,In-Progress,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start
Propeller_7,2024-01-07,267,D,In-Progress,Completed,In-Progress,In-Progress,In-Progress,Yet-to-Start,Completed,In-Progress,In-Progress,Completed,Yet-to-Start,Completed
Propeller_8,2024-01-08,45,D,Yet-to-Start,Completed,Completed,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Yet-to-Start,In-Progress,In-Progress,Yet-to-Start
Propeller_9,2024-01-09,221,D,Yet-to-Start,In-Progress,In-Progress,In-Progress,Completed,In-Progress,In-Progress,In-Progress,In-Progress,Completed,In-Progress,Completed
Propeller_10,2024-01-10,80,B,Yet-to-Start,In-Progress,In-Progress,In-Progress,In-Progress,In-Progress,Completed,Completed,In-Progress,Completed,In-Progress,In-Progress
Propeller_11,2024-01-11,179,D,In-Progress,Completed,Completed,Yet-to-Start,Completed,In-Progress,Yet-to-Start,Completed,In-Progress,Completed,In-Progress,Completed
Propeller_12,2024-01-12,60,B,Yet-to-Start,In-Progress,Yet-to-Start,In-Progress,Yet-to-Start,Yet-to-Start,Yet-to-Start,Completed,Yet-to-Start,Yet-to-Start,Completed,Completed
